部件ID,对象类型,对象句柄,起点X,起点Y,终点X,终点Y,圆心X,圆心Y,半径,起始角度(°),总角度(°)
A24-2,LINE,3BD74,91.908849,189.520763,91.908849,193.920763,,,,,
A24-2,LINE,3BD73,92.208849,189.520763,91.908849,189.520763,,,,,
A24-2,LINE,3BD72,91.408849,178.720763,92.708849,178.720763,,,,,
A24-2,ARC,3BD71,92.708849,178.720763,93.302234,178.915844,92.708849,179.720763,1,270,36.397555
A24-2,LINE,3BD70,90.108849,178.720763,91.108849,178.720763,,,,,
A24-2,LINE,3BD6F,93.708849,180.220763,92.208849,180.220763,,,,,
A24-2,LINE,3BD6E,93.708849,179.720763,93.708849,180.220763,,,,,
A16,ARC,3BD6D,166.175176,71.043513,153.916581,83.302109,153.766583,70.893516,12.4095,0.692568,88.614864
A16,ARC,3BD6C,141.35799,70.743519,153.616586,58.484923,153.766583,70.893516,12.4095,180.692568,88.614864
A16,ARC,3BD6B,153.616586,83.302109,141.35799,71.043513,153.766583,70.893516,12.4095,90.692568,88.614864
A16,ARC,3BD6A,153.916581,58.484923,166.175176,70.743519,153.766583,70.893516,12.4095,270.692568,88.614864
A16,CIRCLE,3BD67,,,,,153.766583,70.893516,1,,
A16,ARC,3BD66,151.921511,68.527992,156.720375,70.369003,153.766583,70.893516,3,232.046316,117.884471
A16,ARC,3BD65,151.921511,68.527992,143.325426,68.747083,147.472879,62.729154,7.308683,52.506054,72.067882
A16,ARC,3BD64,143.325426,68.747083,164.42593,70.836398,153.766583,70.893516,10.6595,191.616695,168.076288
A16,ARC,3BD63,156.720375,70.369003,164.42593,70.836398,160.060288,79.057878,9.308683,248.973764,48.994734
A16,ARC,3BD62,164.20774,73.039949,143.107237,70.950634,153.766583,70.893516,10.6595,11.616695,168.076288
A16,ARC,3BD61,150.812792,71.418029,143.107237,70.950634,147.472879,62.729154,9.308683,68.973764,48.994734
A16,ARC,3BD60,155.611656,73.259041,150.812792,71.418029,153.766583,70.893516,3,52.046316,117.884471
A16,ARC,3BD5F,155.611656,73.259041,164.20774,73.039949,160.060288,79.057878,7.308683,232.506054,72.067882
A5-1,ARC,3BD5C,4.85628,156.418882,6.868722,157.194065,4.856173,159.418989,3.000107,270.002043,42.128792
A5-1,ARC,3BD5B,7.856281,177.418549,7.080974,179.431162,4.856305,177.418526,2.999976,0.000449,42.13489
A5-1,ARC,3BD5A,3.356281,172.418629,2.934511,168.568691,22.085833,168.418691,19.15191,167.944844,11.606404
A5-1,ARC,3BD59,2.35628,164.418755,1.35628,163.418771,2.356272,163.418763,0.999992,89.999543,90
A5-1,LINE,3BD58,2.35628,164.418755,3.35628,164.418755,,,,,
A5-1,ARC,3BD57,2.934511,168.268693,3.35628,164.418755,22.085833,168.418691,19.15191,180.448745,11.606404
A5-1,LINE,3BD56,3.356281,172.418629,2.356281,172.418629,,,,,
A5-1,ARC,3BD55,1.356281,173.418613,2.356281,172.418629,2.356273,173.418621,0.999992,180.000449,90
A5-1,LINE,3BD54,1.356281,173.418613,1.356281,174.568597,,,,,
A5-1,LINE,3BD53,1.356281,174.568597,4.856281,174.418597,,,,,
A5-1,LINE,3BD52,4.856281,174.418597,4.856281,178.418534,,,,,
A5-1,LINE,3BD51,4.856281,178.418534,0.856281,178.268534,,,,,
A5-1,LINE,3BD50,0.856281,178.268534,0.856281,179.418518,,,,,
A5-1,ARC,3BD4F,1.856281,180.418502,0.856281,179.418518,1.856273,179.41851,0.999992,89.999543,90
A5-1,ARC,3BD4E,1.856281,180.418502,4.856281,180.418502,3.356281,182.048954,2.215485,227.386241,85.227511
A5-1,ARC,3BD4D,6.868907,179.643226,4.856281,180.418502,4.856305,177.418526,2.999976,47.86556,42.13489
A5-1,LINE,3BD4C,7.856281,177.418549,6.98276,174.472837,,,,,
A5-1,ARC,3BD4B,6.992165,162.42071,6.98276,174.472837,-7.481858,168.435481,15.674018,337.434364,45.2207
A5-1,LINE,3BD4A,6.992165,162.42071,7.85628,159.418444,,,,,
A5-1,ARC,3BD49,7.080804,157.406115,7.85628,159.418444,4.856173,159.418989,3.000107,317.860805,42.128792
A5-1,ARC,3BD48,4.85628,156.418882,1.85628,156.418882,3.35628,154.78843,2.215485,47.386241,85.227511
A5-1,ARC,3BD47,0.85628,157.418866,1.85628,156.418882,1.856272,157.418874,0.999992,180.000449,90
A5-1,LINE,3BD46,0.85628,157.418866,0.85628,158.56885,,,,,
A5-1,LINE,3BD45,0.85628,158.56885,4.85628,158.41885,,,,,
A5-1,LINE,3BD44,4.85628,158.41885,4.85628,162.418787,,,,,
A5-1,LINE,3BD43,4.85628,162.418787,1.35628,162.268787,,,,,
A5-1,LINE,3BD42,1.35628,162.268787,1.35628,163.418771,,,,,
A5-1,ARC,3BD41,6.392319,164.116297,6.383497,172.728554,-5.784655,168.409957,12.911785,340.5771,38.963174
A5-1,LINE,3BD40,6.383497,172.728554,6.16149,172.728013,,,,,
A5-1,ARC,3BD3F,6.16149,172.728013,6.178169,164.115775,52.315661,168.511265,46.346396,174.779822,10.662286
A5-1,LINE,3BD3E,6.178169,164.115775,6.392319,164.116297,,,,,
A5-2,ARC,3BD3B,2.985319,218.064199,4.997761,217.289016,4.997868,220.289124,3.000107,227.869165,42.128792
A5-2,ARC,3BD3A,2.773067,240.301297,1.99776,238.288684,4.997736,238.288661,2.999976,137.864661,42.13489
A5-2,ARC,3BD39,6.91953,229.438826,6.49776,233.288763,-12.231792,229.288826,19.15191,0.448752,11.606404
A5-2,ARC,3BD38,8.497761,224.288906,7.497761,225.28889,7.497769,224.288898,0.999992,0.000457,90
A5-2,LINE,3BD37,7.497761,225.28889,6.497761,225.28889,,,,,
A5-2,ARC,3BD36,6.497761,225.28889,6.91953,229.138828,-12.231792,229.288826,19.15191,347.944851,11.606404
A5-2,LINE,3BD35,6.49776,233.288763,7.49776,233.288763,,,,,
A5-2,ARC,3BD34,7.49776,233.288763,8.49776,234.288748,7.497768,234.288756,0.999992,269.999551,90
A5-2,LINE,3BD33,8.49776,234.288748,8.49776,235.438732,,,,,
A5-2,LINE,3BD32,8.49776,235.438732,4.99776,235.288732,,,,,
A5-2,LINE,3BD31,4.99776,235.288732,4.99776,239.288668,,,,,
